SpeciesID,Family,Species
6924,CANIDAE,Atelocynus microtis
3753,CANIDAE,Canis adustus
3744,CANIDAE,Canis aureus
3745,CANIDAE,Canis latrans
3746,CANIDAE,Canis lupus
3755,CANIDAE,Canis mesomelas
3747,CANIDAE,Canis rufus
3748,CANIDAE,Canis simensis
4248,CANIDAE,Cerdocyon thous
4819,CANIDAE,Chrysocyon brachyurus
5953,CANIDAE,Cuon alpinus
6923,CANIDAE,Dusicyon australis
82337482,CANIDAE,Dusicyon avus
6929,CANIDAE,Lycalopex culpaeus
41586,CANIDAE,Lycalopex fulvipes
6927,CANIDAE,Lycalopex griseus
6928,CANIDAE,Lycalopex gymnocercus
6925,CANIDAE,Lycalopex sechurae
6926,CANIDAE,Lycalopex vetulus
12436,CANIDAE,Lycaon pictus
14925,CANIDAE,Nyctereutes procyonoides
15642,CANIDAE,Otocyon megalotis
20468,CANIDAE,Speothos venaticus
22780,CANIDAE,Urocyon cinereoargenteus
22781,CANIDAE,Urocyon littoralis
23049,CANIDAE,Vulpes bengalensis
23050,CANIDAE,Vulpes cana
23060,CANIDAE,Vulpes chama
23051,CANIDAE,Vulpes corsac
23061,CANIDAE,Vulpes ferrilata
899,CANIDAE,Vulpes lagopus
41587,CANIDAE,Vulpes macrotis
23052,CANIDAE,Vulpes pallida
23053,CANIDAE,Vulpes rueppellii
23059,CANIDAE,Vulpes velox
23062,CANIDAE,Vulpes vulpes
41588,CANIDAE,Vulpes zerda
219,FELIDAE,Acinonyx jubatus
18306,FELIDAE,Caracal aurata
3847,FELIDAE,Caracal caracal
4037,FELIDAE,Catopuma badia
4038,FELIDAE,Catopuma temminckii
8539,FELIDAE,Felis bieti
8540,FELIDAE,Felis chaus
8541,FELIDAE,Felis margarita
8542,FELIDAE,Felis nigripes
60354712,FELIDAE,Felis silvestris
9948,FELIDAE,Herpailurus yagouaroundi
15309,FELIDAE,Leopardus colocolo
15310,FELIDAE,Leopardus geoffroyi
15311,FELIDAE,Leopardus guigna
54010476,FELIDAE,Leopardus guttulus
15452,FELIDAE,Leopardus jacobita
11509,FELIDAE,Leopardus pardalis
54012637,FELIDAE,Leopardus tigrinus
11511,FELIDAE,Leopardus wiedii
11638,FELIDAE,Leptailurus serval
12518,FELIDAE,Lynx canadensis
12519,FELIDAE,Lynx lynx
12520,FELIDAE,Lynx pardinus
12521,FELIDAE,Lynx rufus
136603,FELIDAE,Neofelis diardi
14519,FELIDAE,Neofelis nebulosa
15640,FELIDAE,Otocolobus manul
15951,FELIDAE,Panthera leo
15953,FELIDAE,Panthera onca
15954,FELIDAE,Panthera pardus
15955,FELIDAE,Panthera tigris
22732,FELIDAE,Panthera uncia
16218,FELIDAE,Pardofelis marmorata
18146,FELIDAE,Prionailurus bengalensis
18148,FELIDAE,Prionailurus planiceps
18149,FELIDAE,Prionailurus rubiginosus
18150,FELIDAE,Prionailurus viverrinus
18868,FELIDAE,Puma concolor
5674,HYAENIDAE,Crocuta crocuta
10274,HYAENIDAE,Hyaena hyaena
10276,HYAENIDAE,Parahyaena brunnea
18372,HYAENIDAE,Proteles cristata
712,URSIDAE,Ailuropoda melanoleuca
9760,URSIDAE,Helarctos malayanus
13143,URSIDAE,Melursus ursinus
22066,URSIDAE,Tremarctos ornatus
41687,URSIDAE,Ursus americanus
41688,URSIDAE,Ursus arctos
22823,URSIDAE,Ursus maritimus
22824,URSIDAE,Ursus thibetanus
