UniqueID,Location,Latitude,Longitude,Area
cpt_1087,Madikwe South Africa,-25.355278,26.531389,1.45
lpi_11483,"'Clay' area, Gorodok, Vitebsk region Belarus",55,31,3.178
cpt_1287,"San Miguel Hill, San Miguel Island United States",34.03972,-120.37543,3.38
cpt_1285,"Dry Lakebed, San Miguel Island United States",34.03972,-120.37543,3.4
cpt_1286,"Willow Canyon, San Miguel Island United States",33.601679,-116.911984,3.59
cpt_1432,Rollapadu Wildlife Sanctuary India,15.96666667,78.3,6.14
cpt_1431,Rollapadu Wildlife Sanctuary India,15.96666667,78.3,6.14
lpi_18495,"Tiputini Biodiversity Station, Orellana Province, Ecuador Ecuador",-0.616667,-76.166667,6.5
lpi_18678,"Tiputini Biodiversity Station, Orellana Province, Ecuador Ecuador",-0.616667,-76.166667,6.5
lpi_18681,"Tiputini Biodiversity Station, Orellana Province, Ecuador Ecuador",-0.616667,-76.166667,6.5
cpt_1281,Sand Island United States,47.25,-91.25,11.9
cpt_1465,Elkhorn United States,38.15,-121.05,20.87
cpt_1000,Keoladeo National Park India,27.735,77.5225,29
cpt_2319,Rural Forest Germany,49.4,6.9,30
cpt_1691,"Blackfeet Indian Reservation, Glacier County, Montana United States",48.577021,-112.877133,32
cpt_2085,Czempin - Control area Poland,52.15,16.75,32
lpi_13287,"Bow Valley watershed of Banff National Park, Alberta Canada",51.508146,-116.185553,32.87
lpi_12736,"Study area within Bow Valley, Banff National Park, Alberta Canada",51.166667,-115.566667,32.87
lpi_12737,"Study area within Bow Valley, Banff National Park, Alberta Canada",51.166667,-115.566667,32.87
cpt_2086,Czempin - Reduction area Poland,52.15,16.75,34
cpt_2095,"Round Valley, sierra Nevada United States",37.4,-118.5666667,35.8
lpi_19696,"Durango, South West Colorado, USA United States",37.308813,-107.888348,36.08
cpt_1684,San Miguel United States,35.7524679,-120.6962826,37.74
cpt_1685,San Miguel United States,35.7524679,-120.6962826,37.74
cpt_1279,San Miguel United States,35.7524679,-120.6962826,38
cpt_2107,Constanta Romania,44.1689214,28.6320122,39.26
cpt_1283,Stockton Island United States,47.25,-91.25,40.7
lpi_11485,"Sandy' area, Polotsk, Vitebsk region Belarus",55,29,40.77
cpt_2092,Sandringham Game Ranch South Africa,-24.54,31.19,44
cpt_2098,Arad Romania,46.1893168,21.3254748,46.18
cpt_2127,Arad Romania,46.1893168,21.3254748,46.18
cpt_2153,Arad Romania,46.1893168,21.3254748,46.18
cpt_1678,San Clemente United States,32.2193333,-110.9052276,49.52
cpt_1679,San Clemente United States,32.2193333,-110.9052276,49.52
cpt_1680,San Clemente United States,32.2193333,-110.9052276,49.52
cpt_2122,suceava Romania,44.2088537,28.6290131,52.1
cpt_2173,Suceava Romania,44.2088537,28.6290131,52.1
cpt_2148,Suceava Romania,44.2088537,28.6290131,52.1
cpt_1129,Silesian Beskid Mountains Poland,49.63333333,19.6,54
lpi_14541,"Cold Lake, Alberta Canada",54.661331,-110.07074,59.3
cpt_1697,"Kotzebue, Alaska United States",66.375,-158,68.63
cpt_2087,Czempin Poland,52.15,16.75,75
cpt_2104,Buzau Romania,45.2731954,26.704774,81.3
cpt_2133,Buzau Romania,45.2731954,26.704774,81.3
cpt_2159,Buzau Romania,45.2731954,26.704774,81.3
lpi_11012,"Bikin, Russian Far East Russian Federation",46.53333,135.38333,85
lpi_13245,"Norwegian Bay, Nunavut Canada",78.310956,-95.276473,87
cpt_2112,Hunedoara Romania,45.7610939,22.9005658,97.3
cpt_2166,Hunedoara Romania,45.7610939,22.9005658,97.3
cpt_2140,Hunedoara Romania,45.7610939,22.9005658,97.3
cpt_2093,Lihue Calel National Park Argentina,-37.95,-65.55,99
lpi_11486,100km2 area in Southern Finland Finland,60.780556,22.5,100
cpt_1942,Box Canyon United States,45.69419,-120.623364,104
lpi_6128,NW Bristol United Kingdom,51.45,-2.58333,110
cpt_1106,Taita Hills Kenya,-3.38305,38.36261,112
cpt_1744,Wind Cave National Park United States,43.552,-103.4736667,115
cpt_1802,Don Edwards San Francisco Bay National Wildlife Refuge United States,37.4935061,-122.0567486,120
cpt_2121,Sibiu Romania,45.7999767,24.1615374,121
cpt_2172,Sibiu Romania,45.7999767,24.1615374,121
cpt_2147,Sibiu Romania,45.7999767,24.1615374,121
lpi_22756,"Okanagan, British Columbia Canada",49.85923,-119.03137,122.19
lpi_22822,"Okanagan, British Columbia Canada",49.85923,-119.03137,122.19
lpi_22841,"Okanagan, British Columbia Canada",49.85923,-119.03137,122.19
lpi_22852,"Okanagan, British Columbia Canada",49.85923,-119.03137,122.19
cpt_1891,Karrak Lake Canada,67.23333333,-100.25,128
lpi_19712,"130.8km2 area on north-eastern border of Amana Lake, Amana Sustainable Development Reserve, Central Amazonia Brazil",-2.490745,-64.675089,130.8
cpt_1763,Naval Petroleum Reserves California United States,35.187133,-117.885359,135
cpt_966,Grimso Wildlife Research Area Sweden,59.66666667,15.5,140
cpt_1929,Pinon Canyon Maneuver site United States,35.032088,-101.919583,145
cpt_2120,Satu Mare Romania,47.7694811,22.8772858,150.3
cpt_2146,Satu Mare Romania,47.7694811,22.8772858,150.3
cpt_2108,Covasna Romania,45.8581148,26.1466716,155.1
cpt_2162,Covasna Romania,45.8581148,26.1466716,155.1
cpt_2136,Covasna Romania,45.8581148,26.1466716,155.1
lpi_11279,"Seoraksan Mountains, Republic of Korea Korea, Republic Of",38,128,163.6
cpt_1115,Samburu Kenya,-3.7790297,39.2742101,165
cpt_1410,Camp Roberts United States,35.75,-120.75,172
cpt_1409,Camp Roberts United States,35.75,-120.75,172
cpt_2106,Cluj Romania,46.7730973,23.6292803,179.5
cpt_2135,Cluj Romania,46.7730973,23.6292803,179.5
cpt_2161,Cluj Romania,46.7730973,23.6292803,179.5
cpt_2242,Rochester Canada,49.885507,-97.1440862,180
cpt_1789,Banff National Park Canada,50.71671,-100.51755,181
cpt_2267,Kwandwe Private Game Reserve South Africa,-33.15,26.53,183
cpt_1793,Mednyi Island Russian Federation,55.3,166.8666667,187
cpt_1794,Mednyi Island Russian Federation,55.3,166.8666667,187
cpt_1681,San Catalina United States,33.810513,-117.9201028,194.2
cpt_1683,San Catalina United States,33.810513,-117.9201028,194.2
cpt_1682,San Catalina United States,33.810513,-117.9201028,194.2
cpt_2241,Santa Catalina Island United States,26.650971,-98.55128,194.2
cpt_1881,Phinda Private Game Reserve South Africa,-27.81,32.33,210
cpt_1816,Lynne United States,44.001603,-90.087324,211
cpt_1761,Naval Petroleum Reserves United States,37.9,-121.86,216
cpt_1280,Santa Rosa United States,18.3315216,-66.7444003,216
cpt_1093,Kwandwe South Africa,-33.1338013,26.5791168,220
cpt_1603,Phinda Private Game Reserve South Africa,-27.825,32.15,220
cpt_1604,Phinda Private Game Reserve South Africa,-27.825,32.15,220
lpi_11294,"Tsagaan Shuvuut Mountains  SPA, Uvs Province, Mogolia Mongolia",50.36667,91.08333,220
cpt_1928,Pinon Canyon Maneuver site United States,35.032088,-101.919583,230
cpt_965,Nagarahole Reserve India,12.0022395,76.2029336,231
cpt_1818,Jwana Game Reserve Botswana,-24.55155,24.723,233
cpt_1774,Phinda Private Game Reserve South Africa,-27.6,32.26666667,234
cpt_1730,Cantabrian range Spain,43.2001143,-4.8478214,235
cpt_1725,Pisgah Bear Sanctuary United States,32.90874,-97.58419,235
cpt_1726,Pisgah Bear Sanctuary United States,32.90874,-97.58419,235
cpt_1727,Pisgah Bear Sanctuary United States,32.90874,-97.58419,235
cpt_1728,Pisgah Bear Sanctuary United States,32.90874,-97.58419,235
cpt_2065,Pisgah Bear Sanctuary United States,35.28333333,-82.78333333,235
cpt_2066,Pisgah Bear Sanctuary United States,35.28333333,-82.78333333,235
cpt_2067,Pisgah Bear Sanctuary United States,35.28333333,-82.78333333,235
cpt_2068,Pisgah Bear Sanctuary United States,35.28333333,-82.78333333,235
cpt_1941,Idaho National Engineering Labaratory United States,43.517,-112.046,238
cpt_2016,Kuala Kampar Indonesia,0.3986392,103.1531989,243
cpt_1278,Santa Cruz United States,33.247581,-117.310219,243
lpi_9888,"Lewa Nature Conservancy, Kenya Kenya",0.22139,37.44806,250
lpi_9864,"Lewa Wildlife Conservancy, Kenya Kenya",0.22139,37.44806,250
cpt_1811,"Ngorongoro Crater Tanzania, United Republic of",-3.18,35.55,250
cpt_1812,"Ngorongoro Crater Tanzania, United Republic of",-3.18,35.55,250
cpt_1813,"Ngorongoro Crater Tanzania, United Republic of",-3.18,35.55,250
cpt_1940,"Ngorongoro crater Tanzania, United Republic of",-3.18,35.55,250
cpt_1939,"Ngorongoro crater Tanzania, United Republic of",-3.18,35.55,250
cpt_1686,Santa Cruz United States,33.247581,-117.310219,250
cpt_1687,Santa Cruz United States,33.247581,-117.310219,250
cpt_2081,Lake Mburo National Park Uganda,-0.611053,30.9812126,260
cpt_2103,Brasov Romania,45.6612074,25.6135857,267.3
cpt_2132,Brasov Romania,45.6612074,25.6135857,267.3
cpt_2158,Brasov Romania,45.6612074,25.6135857,267.3
cpt_1749,Pointe Coupee Parish United States,38.262174,-81.301347,270
cpt_1642,Gumot National Park Pakistan,34.59,73.88,272.71
