ID,UniqueID
1,cpt_1669
2,cpt_1670
3,cpt_1671
4,cpt_1672
5,cpt_1673
6,cpt_1674
7,cpt_10
8,cpt_1042
9,cpt_1041
10,cpt_1095
11,cpt_1675
12,cpt_1677
13,cpt_1676
14,cpt_1678
15,cpt_1679
16,cpt_1680
17,cpt_1681
18,cpt_1683
19,cpt_1682
20,cpt_1684
21,cpt_1685
22,cpt_1686
23,cpt_1687
24,cpt_965
25,cpt_1161
26,cpt_1150
27,cpt_1162
28,cpt_1151
29,cpt_1152
30,cpt_1153
31,cpt_1163
32,cpt_1149
33,cpt_1154
34,cpt_1155
35,cpt_1164
36,cpt_1165
37,cpt_1156
38,cpt_1157
39,cpt_1158
40,cpt_1159
41,cpt_1166
42,cpt_1160
43,cpt_1688
44,cpt_1689
45,cpt_1690
46,cpt_1691
47,cpt_1693
48,cpt_1001
49,cpt_1695
50,cpt_1696
51,cpt_1697
52,cpt_1070
53,cpt_1698
54,cpt_1699
55,cpt_1108
56,cpt_1111
57,cpt_1099
58,cpt_1077
59,cpt_1116
60,cpt_1109
61,cpt_1096
62,cpt_1100
63,cpt_1123
64,cpt_1117
65,cpt_1084
66,cpt_1106
67,cpt_1094
68,cpt_1097
69,cpt_1076
70,cpt_1107
71,cpt_1079
72,cpt_1115
73,cpt_1092
74,cpt_1089
75,cpt_1081
76,cpt_1113
77,cpt_1105
78,cpt_1110
79,cpt_1086
80,cpt_1093
81,cpt_1098
82,cpt_1102
83,cpt_1075
84,cpt_1082
85,cpt_1083
86,cpt_1087
87,cpt_1118
88,cpt_1121
89,cpt_1101
90,cpt_1073
91,cpt_1074
92,cpt_1080
93,cpt_1072
94,cpt_1091
95,cpt_1112
96,cpt_1114
97,cpt_1103
98,cpt_1078
99,cpt_1090
100,cpt_1085
101,cpt_1119
102,cpt_1700
103,cpt_1701
104,cpt_1703
105,cpt_1704
106,cpt_1705
107,cpt_1707
108,cpt_1709
109,cpt_1708
110,cpt_1706
111,cpt_1710
112,cpt_1712
113,cpt_1713
114,cpt_1714
115,cpt_1711
116,cpt_1716
117,cpt_1717
118,cpt_1718
119,cpt_1719
120,cpt_1304
121,cpt_1585
122,cpt_1303
123,cpt_1319
124,cpt_1305
125,cpt_1306
126,cpt_1320
127,cpt_1307
128,cpt_1308
129,cpt_1586
130,cpt_1321
131,cpt_1322
132,cpt_1309
133,cpt_1323
134,cpt_1310
135,cpt_1311
136,cpt_1324
137,cpt_1312
138,cpt_1313
139,cpt_1325
140,cpt_1314
141,cpt_1326
142,cpt_1315
143,cpt_1316
144,cpt_1317
145,cpt_1318
146,cpt_1327
147,cpt_1328
148,cpt_1329
149,cpt_1330
150,cpt_1720
151,cpt_1721
152,cpt_1722
153,cpt_1723
154,cpt_1593
155,cpt_1592
156,cpt_1591
157,cpt_1590
158,cpt_1589
159,cpt_1588
160,cpt_1128
161,cpt_1048
162,cpt_1047
163,cpt_1724
164,cpt_1725
165,cpt_1726
166,cpt_1727
167,cpt_1728
168,cpt_1104
169,cpt_1729
170,cpt_1730
171,cpt_1732
172,cpt_1731
173,cpt_1735
174,cpt_2300
175,cpt_2301
176,cpt_2302
177,cpt_2304
178,cpt_2303
179,cpt_1737
180,cpt_1736
181,cpt_1486
182,cpt_1520
183,cpt_1564
184,cpt_1493
185,cpt_1496
186,cpt_1530
187,cpt_1573
188,cpt_1521
189,cpt_1565
190,cpt_1491
191,cpt_1566
192,cpt_1479
193,cpt_1517
194,cpt_1522
195,cpt_1567
196,cpt_1490
197,cpt_1480
198,cpt_1494
199,cpt_1546
200,cpt_1511
201,cpt_1475
202,cpt_1540
203,cpt_1509
204,cpt_1474
205,cpt_1539
206,cpt_1497
207,cpt_1503
208,cpt_1501
209,cpt_1574
210,cpt_1495
211,cpt_1506
212,cpt_1544
213,cpt_1504
214,cpt_1523
215,cpt_1568
216,cpt_1481
217,cpt_1547
218,cpt_1572
219,cpt_1498
220,cpt_1531
221,cpt_1529
222,cpt_1575
223,cpt_1524
224,cpt_1476
225,cpt_1512
226,cpt_1541
227,cpt_1477
228,cpt_1542
229,cpt_1487
230,cpt_1569
231,cpt_1525
232,cpt_1519
233,cpt_1526
234,cpt_1510
235,cpt_1507
236,cpt_1472
237,cpt_1538
238,cpt_1482
239,cpt_1478
240,cpt_1513
241,cpt_1548
242,cpt_1543
243,cpt_1545
244,cpt_1578
245,cpt_1483
246,cpt_1514
247,cpt_1549
248,cpt_1570
249,cpt_1484
250,cpt_1527
251,cpt_1518
252,cpt_1515
253,cpt_1516
254,cpt_1563
255,cpt_1485
256,cpt_1528
257,cpt_1571
258,cpt_1492
259,cpt_1499
260,cpt_1532
261,cpt_1536
262,cpt_1579
263,cpt_1577
264,cpt_1508
265,cpt_1473
266,cpt_1537
267,cpt_1502
268,cpt_1500
269,cpt_1533
270,cpt_1576
271,cpt_1488
272,cpt_1535
273,cpt_1738
274,cpt_1739
275,cpt_1740
276,cpt_1741
277,cpt_1743
278,cpt_1744
279,cpt_1745
280,cpt_1746
281,cpt_1747
282,cpt_1748
283,cpt_1749
284,cpt_1750
285,cpt_1751
286,cpt_1752
287,cpt_1756
288,cpt_1755
289,cpt_1753
290,cpt_1049
291,cpt_1050
292,cpt_1757
293,cpt_1285
294,cpt_1286
295,cpt_1287
296,cpt_1280
297,cpt_1278
298,cpt_1279
299,cpt_1760
300,cpt_1759
301,cpt_1761
302,cpt_1762
303,cpt_1331
304,cpt_1332
305,cpt_1333
306,cpt_1334
307,cpt_1594
308,cpt_1595
309,cpt_1596
310,cpt_1597
311,cpt_1598
312,cpt_1599
313,cpt_1600
314,cpt_1601
315,cpt_1763
316,cpt_1764
317,cpt_2308
318,cpt_2309
319,cpt_1765
320,cpt_2310
321,cpt_1766
322,cpt_1126
323,cpt_1127
324,cpt_1125
325,cpt_1045
326,cpt_1046
327,cpt_1043
328,cpt_1044
329,cpt_1767
330,cpt_1768
331,cpt_1770
332,cpt_1769
333,cpt_1772
334,cpt_1771
335,cpt_1774
336,cpt_1775
337,cpt_1776
338,cpt_1777
339,cpt_1778
340,cpt_1335
341,cpt_1336
342,cpt_1168
343,cpt_1779
344,cpt_1781
345,cpt_1780
346,cpt_1782
347,cpt_978
348,cpt_1581
349,cpt_1010
350,cpt_1011
351,cpt_1012
352,cpt_1013
353,cpt_1014
354,cpt_1015
355,cpt_1783
356,cpt_1786
357,cpt_1787
358,cpt_1785
359,cpt_1788
360,cpt_1789
361,cpt_1793
362,cpt_1794
363,cpt_1791
364,cpt_1792
365,cpt_1795
366,cpt_1797
367,cpt_1796
368,cpt_1580
369,cpt_979
370,cpt_1337
371,cpt_1602
372,cpt_1800
373,cpt_1801
374,cpt_1798
375,cpt_1802
376,cpt_1120
377,cpt_1803
378,cpt_1804
379,cpt_1805
380,cpt_1470
381,cpt_966
382,cpt_1806
383,cpt_1807
384,cpt_1808
385,cpt_1809
386,cpt_1810
387,cpt_1811
388,cpt_1812
389,cpt_1813
390,cpt_1814
391,cpt_1816
392,cpt_1815
393,cpt_1817
394,cpt_1818
395,cpt_1819
396,cpt_1828
397,cpt_1822
398,cpt_1830
399,cpt_1821
400,cpt_1829
401,cpt_1823
402,cpt_1824
403,cpt_1825
404,cpt_1826
405,cpt_1827
406,cpt_1820
407,cpt_1838
408,cpt_1831
