"","id","Year","Value"
"14541.1970",14541,1970,92
"119.1970",119,1970,250
"528.1970",528,1970,40
"8147.1970",8147,1970,0.35
"639.1970",639,1970,30
"28.1970",28,1970,9
"117.1970",117,1970,77
"578.1970",578,1970,0
"584.1970",584,1970,200
"589.1970",589,1970,482
"529.1970",529,1970,50
"526.1970",526,1970,50
"585.1970",585,1970,150
"527.1970",527,1970,100
"588.1970",588,1970,550
"579.1970",579,1970,0
"530.1970",530,1970,23
"5090.1970",5090,1970,1.3
"638.1970",638,1970,400
"533.1970",533,1970,400
"632.1970",632,1970,4205
"590.1970",590,1970,800
"531.1970",531,1970,1500
"577.1970",577,1970,0
"522.1970",522,1970,100
"525.1970",525,1970,100
"583.1970",583,1970,250
"523.1970",523,1970,0
"580.1970",580,1970,0
"581.1970",581,1970,150
"521.1970",521,1970,0
"576.1970",576,1970,0
"11049.1970",11049,1970,223
"5085.1970",5085,1970,0.2
"5086.1970",5086,1970,2.5
"627.1970",627,1970,10
"6166.1970",6166,1970,16.5
"3421.1970",3421,1970,0.6
"3488.1970",3488,1970,5.2
"5087.1970",5087,1970,2
"5088.1970",5088,1970,1.9
"604.1970",604,1970,8
"5895.1970",5895,1970,0.48
"5897.1970",5897,1970,0.61
"5894.1970",5894,1970,0.17
"5896.1970",5896,1970,0.25
"5893.1970",5893,1970,0.58
"5898.1970",5898,1970,23
"14541.1971",14541,1971,75
"8147.1971",8147,1971,0.5
"28.1971",28,1971,10
"5090.1971",5090,1971,1.6
"632.1971",632,1971,3962
"5085.1971",5085,1971,0.6
"5086.1971",5086,1971,4.8
"6166.1971",6166,1971,3
"3421.1971",3421,1971,0.135
"3488.1971",3488,1971,7
"5087.1971",5087,1971,2.1
"5088.1971",5088,1971,3.1
"604.1971",604,1971,7
"5895.1971",5895,1971,0.08
"5897.1971",5897,1971,0.35
"5894.1971",5894,1971,0.47
"5896.1971",5896,1971,0.6
"5893.1971",5893,1971,1.12
"5898.1971",5898,1971,30
"14541.1972",14541,1972,117
"3485.1972",3485,1972,25
"8147.1972",8147,1972,0.75
"28.1972",28,1972,9
"3427.1972",3427,1972,2500
"234.1972",234,1972,1827
"5085.1972",5085,1972,0.8
"5086.1972",5086,1972,2.8
"6166.1972",6166,1972,1
"3488.1972",3488,1972,7.5
"5087.1972",5087,1972,2
"5088.1972",5088,1972,0.5
"604.1972",604,1972,8
"5895.1972",5895,1972,0.63
"5897.1972",5897,1972,0.18
"5894.1972",5894,1972,0.43
"5896.1972",5896,1972,0.39
"5893.1972",5893,1972,1.17
"5898.1972",5898,1972,32
"14541.1973",14541,1973,175
"3485.1973",3485,1973,24
"3480.1973",3480,1973,0.78
"8147.1973",8147,1973,0.55
"28.1973",28,1973,11
"3479.1973",3479,1973,2.7
"117.1973",117,1973,42
"5090.1973",5090,1973,1.4
"632.1973",632,1973,3690
"5085.1973",5085,1973,0.25
"5086.1973",5086,1973,3.2
"6166.1973",6166,1973,1
"3421.1973",3421,1973,1
"3488.1973",3488,1973,5.35
"5087.1973",5087,1973,2
"5088.1973",5088,1973,0.3
"604.1973",604,1973,12
"5895.1973",5895,1973,1.38
"5897.1973",5897,1973,0.67
"5894.1973",5894,1973,1.33
"5896.1973",5896,1973,1.19
"5893.1973",5893,1973,1.7
"5898.1973",5898,1973,70
"14541.1974",14541,1974,136
"230.1974",230,1974,142
