Tag,id,Citation_trim,Citation,Class,Order,Family,Genus,Species,SubSpecies,Authority,CommonName,Estimated_area_num,Estimated_area_cat,Units,PopulationLocation,CountryList,Region,DecimalLatitude,DecimalLongitude,SpecificCoordinate,system,biome,realm,Native,Alien,Invasive,Units,SamplingMethod,DataTransformed
NA,11483,Variations in the diet and population density of the red fox Vulpes vulpes in the mixed woodlands of northern Belarus,"Sidorovich, V. E., A. A. Sidorovich, et al. (2006). Variations in the diet and population density of the red fox Vulpes vulpes in the mixed woodlands of northern Belarus."" Mammalian Biology - Zeitschrift für Säugetierkunde 71(2): 74-89.""",Mammalia,Carnivora,Canidae,Vulpes,vulpes,,"Linnaeus, 1758",Red fox,3.178,NA,km2,"'Clay' area, Gorodok, Vitebsk region",Belarus,Asia,55,31,FALSE,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,Yes,No,No,Red fox track trails per 1km per day,Snowtracking and trail counting of tracks on standard routes in early and late Winter,Yes
Cooley2009321,11297,Source populations in carnivore management: cougar demography and emigration in a lightly hunted population," Cooley, H. S., R. B. Wielgus, et al. (2009). Source populations in carnivore management: cougar demography and emigration in a lightly hunted population."" Animal Conservation 12(4): 321-328.""",Mammalia,Carnivora,Felidae,Puma,concolor,,"(Linnaeus, 1771)",Mountain lion / Puma / Cougar,9.92,NA,km2,Cle Elum study area in central Washington,United States,North America,47.18333,-120.95,TRUE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,individuals/100km²,composite range estimate,No
NA,13287,Revisiting extinction in National Parks: Mountain caribou in Banff,"Hebblewhite, M., C. White, et al. (2009). Revisiting extinction in National Parks: Mountain caribou in Banff."" Conservation Biology 24(1): 341-344.""",Mammalia,Carnivora,Canidae,Canis,lupus,,"Linnaeus, 1758",Grey wolf / Gray wolf,32.87,NA,km2,"Bow Valley watershed of Banff National Park, Alberta",Canada,North America,51.508146,-116.185553,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Telemetry studies,No
NA,12736,Interactions between cougars (Puma concolor) and gray wolves (Canis lupus) in Banff National Park  Alberta,"Kortello, A. D., T. E. Hurd, et al. (2007). Interactions between cougars (Puma concolor) and gray wolves (Canis lupus) in Banff National Park  Alberta."" Ecoscience 14(2): 214-222.""",Mammalia,Carnivora,Canidae,Canis,lupus,,"Linnaeus, 1758",Grey wolf / Gray wolf,32.87,NA,km2,"Study area within Bow Valley, Banff National Park, Alberta",Canada,North America,51.166667,-115.566667,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Tracking of wolf packs,No
NA,12737,Interactions between cougars (Puma concolor) and gray wolves (Canis lupus) in Banff National Park  Alberta,"Kortello, A. D., T. E. Hurd, et al. (2007). Interactions between cougars (Puma concolor) and gray wolves (Canis lupus) in Banff National Park  Alberta."" Ecoscience 14(2): 214-222.""",Mammalia,Carnivora,Felidae,Puma,concolor,,"(Linnaeus, 1771)",Mountain lion / Puma / Cougar,32.87,NA,km2,"Study area within Bow Valley, Banff National Park, Alberta",Canada,North America,51.166667,-115.566667,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Tracking of individuals,No
NA,19696,"Laufenberg, J. S., et al. (2018). Compounding effects of human development and a natural food shortage on a black bear population along a human development-wildland interface."" Biological Conservation 224: 188-198.""",,Mammalia,Carnivora,Ursidae,Ursus,americanus,,"Pallas, 1780",American black bear,36.08,NA,km2,"Durango, South West Colorado, USA",United States,North America,37.308813,-107.888348,TRUE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Estimated female abundance,DNA-based spatial capture-recapture data with GPS-telemetry (obtained from collars) based resource selection data,No
NA,11485,Variations in the diet and population density of the red fox Vulpes vulpes in the mixed woodlands of northern Belarus,"Sidorovich, V. E., A. A. Sidorovich, et al. (2006). Variations in the diet and population density of the red fox Vulpes vulpes in the mixed woodlands of northern Belarus."" Mammalian Biology - Zeitschrift für Säugetierkunde 71(2): 74-89.""",Mammalia,Carnivora,Canidae,Vulpes,vulpes,,"Linnaeus, 1758",Red fox,40.77,NA,km2,"Sandy' area, Polotsk, Vitebsk region",Belarus,Asia,55,29,FALSE,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,Yes,No,No,Red fox track trails per 1km per day,Snowtracking and trail counting of tracks on standard routes in early and late Winter,Yes
NA,14541,Demographic response of Black bears at Cold Lake  Alberta  to the removal of adult males,"Sargeant, G. A. and R. L. Ruff (2001). Demographic response of Black bears at Cold Lake  Alberta  to the removal of adult males."" Ursus 12: 59-67.""",Mammalia,Carnivora,Ursidae,Ursus,americanus,,"Pallas, 1780",American black bear,59.3,NA,km2,"Cold Lake, Alberta",Canada,North America,54.661331,-110.07074,TRUE,Terrestrial,Boreal forests/taiga,Nearctic,Yes,No,No,Estimated number of individuals,Capture-mark-recapture of bears of 2 or more years old. Annual population estimate was a mean of 6 Lincoln Index estimates 3 capture efficiency estimates and summation of the capture-frequency distribution using a maximum likelihood technique to estimate the zero-capture category.,No
NA,11012,A monitoring program for the amur tiger: Thirteenth-year report 1998-2010," Wildlife Conservation Society, R. F. E. P. (2010). A monitoring program for the amur tiger: Thirteenth-year report 1998-2010. E. I. Nikolaeva, Wildlife Conservation Society: 1-25.",Mammalia,Carnivora,Felidae,Panthera,tigris,altaica,"Hilzheimer, 1905",Tiger,85,NA,km2,"Bikin, Russian Far East",Russian Federation,Asia,46.53333,135.38333,TRUE,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,Yes,No,No,Number of independent tigers,Expert assessment based on tiger tracks,No
NA,13245,Mark-recapture and stochastic population models for Polar bears of the High Arctic,"Taylor, M. K., J. Laake, et al. (2008). Mark-recapture and stochastic population models for Polar bears of the High Arctic."" Arctic 61(2): 143-152.""",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,87,NA,km2,"Norwegian Bay, Nunavut",Canada,North America,78.310956,-95.276473,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of initial captures,Mark-recapture studies carried out over a systematic search of the area.,Yes
